etape,step_cost,step_time,euro_per_prise_marginal,h_per_prise_marginal,cost_cum,time_cum,prises_cum,note
1,18483.264358941567,77.91654959839335,18483.264358941567,77.91654959839335,18483.264358941567,77.91654959839335,1,
2,8436.518516833148,44.43638509657634,8436.518516833148,44.43638509657634,26919.782875774716,122.35293469496969,2,
3,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,10,
4,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,18,
5,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,26,
6,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,34,
7,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,42,
8,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,50,
9,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,58,
10,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,66,
11,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,74,
12,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,82,
13,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,90,
14,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,98,
15,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,106,
16,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,114,
17,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,122,
18,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,130,
19,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,138,
20,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,146,
21,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,154,
22,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,162,
23,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,170,
24,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,178,
25,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,186,
26,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,194,
27,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,202,
28,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,210,
29,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,218,
30,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,226,
31,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,234,
32,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,242,
33,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,250,
