etape,id_batiment,type_batiment,is_uninhabited,prises,cost_before,time_before,cat_score,score,score_parts_cpp_n,score_parts_tpp_n,score_parts_p_n,score_parts_c_n,score_penalty,infrastructures,repaired_infras,step_cost,step_time,euro_per_prise_marginal,h_per_prise_marginal,cost_cum,time_cum,prises_cum,note
1,E000085,hôpital,0,1,18483.264358941567,77.91654959839335,0.0,0.32062818245995156,0.31792833633429113,0.25782089505618916,0.0,0.20732078509091045,1.0,"['P000181', 'P000365', 'P000394', 'P000395', 'P005500', 'P007111', 'P007447', 'P007982', 'P007990']","['P005500', 'P007447', 'P007990']",18483.264358941567,77.91654959839335,18483.264358941567,77.91654959839335,18483.264358941567,77.91654959839335,1,
2,E000106,école,0,1,8436.518516833148,44.43638509657634,0.5,0.6551549745135239,0.14511550797641673,0.1470371652455341,0.0,0.09462969356371911,1.0,"['P000181', 'P000365', 'P000394', 'P000395', 'P001391', 'P005500', 'P007111', 'P007752', 'P007982', 'P007990']","['P007752', 'P001391']",8436.518516833148,44.43638509657634,8436.518516833148,44.43638509657634,26919.782875774716,122.35293469496969,2,
3,E000011,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000352', 'P007111', 'P007321', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,10,
4,E000043,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000160', 'P000308', 'P000347', 'P007111', 'P007135', 'P007983']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,18,
5,E000045,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000181', 'P000256', 'P000334', 'P000394', 'P000395', 'P007111', 'P007287', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,26,
6,E000057,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000020', 'P000148', 'P000160', 'P000301', 'P000348', 'P007111', 'P007319', 'P007983']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,34,
7,E000074,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000160', 'P000209', 'P000308', 'P000347', 'P007111', 'P007252', 'P007983']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,42,
8,E000088,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000181', 'P000256', 'P000258', 'P000267', 'P000334', 'P000394', 'P000395', 'P007111', 'P007366', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,50,
9,E000089,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000181', 'P000256', 'P000258', 'P000267', 'P000334', 'P000394', 'P000395', 'P007111', 'P007357', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,58,
10,E000094,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000103', 'P000181', 'P000256', 'P000267', 'P000334', 'P000394', 'P000395', 'P007111', 'P007211', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,66,
11,E000100,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000181', 'P000256', 'P000299', 'P000334', 'P000342', 'P000394', 'P000395', 'P007111', 'P007190', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,74,
12,E000114,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000147', 'P000181', 'P000256', 'P000334', 'P000342', 'P000394', 'P000395', 'P007111', 'P007280', 'P007982', 'P007987']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,82,
13,E000137,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000046', 'P000163', 'P000181', 'P000221', 'P000279', 'P000290', 'P000292', 'P000317', 'P000326', 'P000331', 'P000394', 'P007111', 'P007350', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,90,
14,E000142,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000046', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007372', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,98,
15,E000148,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000046', 'P000163', 'P000181', 'P000230', 'P000279', 'P000290', 'P000292', 'P000317', 'P000326', 'P000331', 'P000349', 'P000394', 'P007111', 'P007128', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,106,
16,E000152,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000046', 'P000163', 'P000181', 'P000221', 'P000223', 'P000279', 'P000290', 'P000292', 'P000317', 'P000326', 'P000331', 'P000394', 'P007111', 'P007196', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,114,
17,E000159,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000046', 'P000163', 'P000166', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P000403', 'P007111', 'P007341', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,122,
18,E000167,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000046', 'P000134', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007374', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,130,
19,E000169,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000046', 'P000134', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007155', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,138,
20,E000179,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000046', 'P000084', 'P000134', 'P000153', 'P000163', 'P000181', 'P000253', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007256', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,146,
21,E000200,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000046', 'P000084', 'P000134', 'P000153', 'P000163', 'P000181', 'P000253', 'P000266', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007117', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,154,
22,E000208,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000046', 'P000084', 'P000134', 'P000153', 'P000163', 'P000181', 'P000253', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007290', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,162,
23,E000209,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000046', 'P000084', 'P000134', 'P000153', 'P000163', 'P000181', 'P000253', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007367', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,170,
24,E000210,habitation,0,8,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,"['P000046', 'P000134', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007401', 'P007982']",[],0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,178,
