etape,id_batiment,type_batiment,prises,cost_cur,time_cur_h,cost_per_prise,time_per_prise,is_uninhabited,infrastructures
1,E000011,habitation,8,0.0,0.0,0.0,0.0,0,"['P000352', 'P007111', 'P007321', 'P007982']"
2,E000043,habitation,8,0.0,0.0,0.0,0.0,0,"['P000160', 'P000308', 'P000347', 'P007111', 'P007135', 'P007983']"
3,E000045,habitation,8,0.0,0.0,0.0,0.0,0,"['P000181', 'P000256', 'P000334', 'P000394', 'P000395', 'P007111', 'P007287', 'P007982']"
4,E000057,habitation,8,0.0,0.0,0.0,0.0,0,"['P000020', 'P000148', 'P000160', 'P000301', 'P000348', 'P007111', 'P007319', 'P007983']"
5,E000074,habitation,8,0.0,0.0,0.0,0.0,0,"['P000160', 'P000209', 'P000308', 'P000347', 'P007111', 'P007252', 'P007983']"
6,E000088,habitation,8,0.0,0.0,0.0,0.0,0,"['P000181', 'P000256', 'P000258', 'P000267', 'P000334', 'P000394', 'P000395', 'P007111', 'P007366', 'P007982']"
7,E000089,habitation,8,0.0,0.0,0.0,0.0,0,"['P000181', 'P000256', 'P000258', 'P000267', 'P000334', 'P000394', 'P000395', 'P007111', 'P007357', 'P007982']"
8,E000094,habitation,8,0.0,0.0,0.0,0.0,0,"['P000103', 'P000181', 'P000256', 'P000267', 'P000334', 'P000394', 'P000395', 'P007111', 'P007211', 'P007982']"
9,E000100,habitation,8,0.0,0.0,0.0,0.0,0,"['P000181', 'P000256', 'P000299', 'P000334', 'P000342', 'P000394', 'P000395', 'P007111', 'P007190', 'P007982']"
10,E000114,habitation,8,0.0,0.0,0.0,0.0,0,"['P000147', 'P000181', 'P000256', 'P000334', 'P000342', 'P000394', 'P000395', 'P007111', 'P007280', 'P007982', 'P007987']"
11,E000137,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000221', 'P000279', 'P000290', 'P000292', 'P000317', 'P000326', 'P000331', 'P000394', 'P007111', 'P007350', 'P007982']"
12,E000142,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007372', 'P007982']"
13,E000148,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000230', 'P000279', 'P000290', 'P000292', 'P000317', 'P000326', 'P000331', 'P000349', 'P000394', 'P007111', 'P007128', 'P007982']"
14,E000152,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000221', 'P000223', 'P000279', 'P000290', 'P000292', 'P000317', 'P000326', 'P000331', 'P000394', 'P007111', 'P007196', 'P007982']"
15,E000159,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000166', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P000403', 'P007111', 'P007341', 'P007982']"
16,E000167,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000134', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007374', 'P007982']"
