etape,phase,id_batiment,type_batiment,is_uninhabited,prises,cost_before,time_before,cat_score,score,score_parts_cost_n,score_parts_time_n,score_parts_wall_n,score_parts_p_n,score_parts_c_n,score_penalty,infrastructures,repaired_infras,step_cost,step_time,euro_per_prise_marginal,h_per_prise_marginal,labour_cost,wall_clock_step_h,cost_cum,time_cum,prises_cum,note
1,0(hôpital),E000085,hôpital,0,1,18483.264358941567,77.91654959839335,0.0,0.3777835859419483,0.31208333576274855,0.25782089505618916,0.244987615528306,0.0,0.20732078509091048,1.0,"['P000181', 'P000365', 'P000394', 'P000395', 'P005500', 'P007111', 'P007447', 'P007982', 'P007990']","['P007990', 'P005500', 'P007447']",18483.264358941567,77.91654959839335,18483.264358941567,77.91654959839335,2921.8706099397505,9.35143051607775,18483.264358941567,77.91654959839335,1,
2,1,E000106,école,0,1,8436.518516833148,44.43638509657634,0.5,0.7191971363683396,0.14729836643977612,0.1470371652455341,0.2500566437218565,0.0,0.09462969356371913,1.0,"['P000181', 'P000365', 'P000394', 'P000395', 'P001391', 'P005500', 'P007111', 'P007752', 'P007982', 'P007990']","['P001391', 'P007752']",8436.518516833148,44.43638509657634,8436.518516833148,44.43638509657634,1666.3644411216126,9.544920561824775,26919.782875774716,122.35293469496969,2,
3,1,E000127,habitation,0,8,14634.412304529207,66.7362145407099,1.0,0.8525511076071535,0.031231866112831474,0.027603234893987274,0.023971539769678845,1.0,0.16414945917555535,1.0,"['P000147', 'P000149', 'P000181', 'P000256', 'P000334', 'P000342', 'P000394', 'P000395', 'P000873', 'P005117', 'P007111', 'P007790', 'P007982']","['P007790', 'P005117', 'P000873']",14634.412304529207,66.7362145407099,1829.301538066151,8.342026817588737,2502.608045276621,7.3201476094580995,41554.19518030393,189.0891492356796,10,
4,1,E000259,habitation,0,8,18773.43407247938,75.09373628991753,1.0,0.8623336218569712,0.03934632582448011,0.031060048223341748,0.01766250736687389,1.0,0.21057552471114221,1.0,"['P000181', 'P000265', 'P000275', 'P000381', 'P000394', 'P000395', 'P000719', 'P000732', 'P005100', 'P007111', 'P007206', 'P007982', 'P008001']","['P000732', 'P005100', 'P008001', 'P000719']",18773.43407247938,75.09373628991753,2346.6792590599225,9.386717036239691,2816.0151108719074,5.39356930430465,60327.62925278331,264.18288552559716,18,
5,1,E000302,habitation,0,7,5481.818235167805,30.454545750932255,1.0,0.8543008732240587,0.013796405678206223,0.014396021466016769,0.022417505652282073,0.8571428571428571,0.061487778250104486,1.0,"['P000181', 'P000265', 'P000381', 'P000394', 'P000395', 'P000719', 'P000730', 'P000732', 'P005100', 'P007111', 'P007631', 'P007982', 'P008001']","['P007631', 'P000730']",5481.818235167805,30.454545750932255,783.1168907382579,4.350649392990322,1142.0454656599595,5.989895538160876,65809.44748795111,294.6374312765294,25,
6,1,E000160,habitation,0,8,18968.111365428333,75.87244546171334,1.0,0.8639055092667716,0.03975434047802855,0.031382135598706284,0.02154765828902239,1.0,0.2127591568028417,1.0,"['P000181', 'P000265', 'P000381', 'P000394', 'P000395', 'P000600', 'P000719', 'P000723', 'P000732', 'P005100', 'P007111', 'P007641', 'P007982', 'P008001', 'P008005']","['P008005', 'P000723', 'P007641', 'P000600']",18968.111365428333,75.87244546171334,2371.0139206785416,9.484055682714168,2845.21670481425,6.57997111697095,84777.55885337945,370.5098767382427,33,
7,1,E000266,habitation,0,8,19331.493618892855,86.97560321326496,1.0,0.8691986739739066,0.041175419989116835,0.03597459073854819,0.03159997193900583,1.0,0.21683509775208876,1.0,"['P000046', 'P000084', 'P000134', 'P000153', 'P000163', 'P000181', 'P000253', 'P000266', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P006709', 'P007111', 'P007692', 'P007982', 'P008025']","['P008025', 'P006709', 'P007692']",19331.493618892855,86.97560321326496,2416.436702361607,10.87195040165812,3261.585120497436,9.64962873769354,104109.0524722723,457.48547995150767,41,
8,1,E000365,habitation,0,8,18820.4360068854,89.15765144473323,1.0,0.8705914565248436,0.040393155703530206,0.036877123048745165,0.040571350401387825,1.0,0.21110273017401995,1.0,"['P000023', 'P000046', 'P000084', 'P000134', 'P000136', 'P000142', 'P000163', 'P000181', 'P000211', 'P000226', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000335', 'P000372', 'P000380', 'P000394', 'P004862', 'P007111', 'P007780', 'P007982', 'P008031']","['P004862', 'P007780', 'P008031']",18820.4360068854,89.15765144473323,2352.554500860675,11.144706430591654,3343.4119291774964,12.389203051063951,122929.4884791577,546.643131396241,49,
9,1,E000373,habitation,0,8,19402.41457415171,91.57534957309781,1.0,0.8724679860751067,0.04161903232465904,0.03787712416956527,0.04083386674042807,1.0,0.21763059511868624,1.0,"['P000023', 'P000046', 'P000084', 'P000134', 'P000136', 'P000142', 'P000163', 'P000181', 'P000211', 'P000226', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000335', 'P000372', 'P000380', 'P000394', 'P004209', 'P004862', 'P007111', 'P007514', 'P007982', 'P008031', 'P008032']","['P004209', 'P007514', 'P008032']",19402.41457415171,91.57534957309781,2425.3018217689637,11.446918696637226,3434.075608991168,12.469367211152651,142331.90305330942,638.2184809693388,57,
10,1,E000376,habitation,0,8,9916.237505247858,43.68931889024575,1.0,0.8372847630862406,0.021057996411920802,0.01807064634974336,0.024000998045489063,1.0,0.11122722181600848,1.0,"['P000023', 'P000046', 'P000084', 'P000134', 'P000136', 'P000142', 'P000163', 'P000181', 'P000211', 'P000226', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000335', 'P000372', 'P000380', 'P000394', 'P004209', 'P004211', 'P004862', 'P007111', 'P007506', 'P007982', 'P008031', 'P008032']","['P007506', 'P004211']",9916.237505247858,43.68931889024575,1239.5296881559823,5.461164861280719,1638.3494583842157,7.3291432321558,152248.14055855726,681.9077998595845,65,
11,1,E000381,habitation,0,8,23116.33048518977,99.9070823003193,1.0,0.8786881551475679,0.048956982881956365,0.04132327072022292,0.024369789235551133,1.0,0.25928838605243704,1.0,"['P000023', 'P000046', 'P000084', 'P000134', 'P000136', 'P000142', 'P000163', 'P000181', 'P000211', 'P000226', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000335', 'P000372', 'P000380', 'P000394', 'P004234', 'P004862', 'P007111', 'P007459', 'P007982', 'P008031', 'P008032', 'P008035', 'P008036']","['P008036', 'P004234', 'P007459', 'P008035']",23116.33048518977,99.9070823003193,2889.5413106487213,12.488385287539913,3746.515586261974,7.44176035956022,175364.47104374703,781.8148821599038,73,
12,1,E000098,habitation,0,7,12944.177645733216,60.3626350132637,1.0,0.8809959070768355,0.031675267331044595,0.02853373012039357,0.028690431395907528,0.8571428571428571,0.14519064488580946,1.0,"['P000181', 'P000256', 'P000334', 'P000342', 'P000394', 'P000395', 'P005531', 'P007111', 'P007639', 'P007982']","['P007639', 'P005531']",12944.177645733216,60.3626350132637,1849.1682351047452,8.623233573323386,2263.598812997389,7.666003955652525,188308.64868948027,842.1775171731675,80,
13,1,E000364,habitation,0,5,2459.07065862651,9.83628263450604,1.0,0.8994188328326598,0.008246154218663667,0.006509526425195528,0.012884485556231465,0.5714285714285714,0.027582598486930083,1.0,"['P000023', 'P000046', 'P000084', 'P000134', 'P000136', 'P000142', 'P000163', 'P000181', 'P000211', 'P000226', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000335', 'P000372', 'P000380', 'P000394', 'P004862', 'P007111', 'P007518', 'P007982', 'P008031']",['P007518'],2459.07065862651,9.83628263450604,491.814131725302,1.967256526901208,368.86059879397646,2.45907065862651,190767.71934810677,852.0137998076735,85,
14,1,E000112,habitation,0,6,10442.5347037063,41.7701388148252,1.0,0.9032401749017059,0.029181332962254728,0.023035787714264934,0.02818638272576793,0.7142857142857143,0.11713052689549062,1.0,"['P000181', 'P000256', 'P000299', 'P000334', 'P000342', 'P000394', 'P000395', 'P005664', 'P007111', 'P007448', 'P007982']","['P007448', 'P005664']",10442.5347037063,41.7701388148252,1740.4224506177168,6.961689802470867,1566.3802055559452,6.4554201809227,201210.25405181307,893.7839386224987,91,
15,1,E000378,habitation,0,5,3763.841600168235,15.05536640067294,1.0,0.9066903989360231,0.012621523574659966,0.009963449513170982,0.01972093097983498,0.5714285714285714,0.042217791205654324,1.0,"['P000023', 'P000046', 'P000084', 'P000134', 'P000136', 'P000142', 'P000163', 'P000181', 'P000211', 'P000226', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000335', 'P000372', 'P000380', 'P000394', 'P004234', 'P004862', 'P007111', 'P007497', 'P007982', 'P008031', 'P008032', 'P008035']",['P007497'],3763.841600168235,15.05536640067294,752.768320033647,3.011073280134588,564.5762400252353,3.763841600168235,204974.0956519813,908.8393050231716,96,
16,1,E000228,habitation,0,8,30874.686530321676,150.68211842666423,1.0,0.9081779778236072,0.06656654384872691,0.062324690393063716,0.03301141964919787,1.0,0.346311350992796,1.0,"['P000181', 'P000265', 'P000381', 'P000394', 'P000395', 'P000494', 'P000719', 'P000732', 'P005100', 'P007111', 'P007810', 'P007982', 'P008001', 'P008003', 'P008004', 'P008010', 'P008011', 'P008012']","['P008011', 'P008012', 'P000494', 'P008004', 'P008003', 'P007810', 'P008010']",30874.686530321676,150.68211842666423,3859.3358162902096,18.83526480333303,5650.579440999909,10.0806400820172,235848.78218230297,1059.5214234498358,104,
