infra_id,repaired_times
P007447,1
P005500,1
P007990,1
P001391,1
P007752,1
P005117,1
P007790,1
P000873,1
P005100,1
P008001,1
P000719,1
P000732,1
P007631,1
P000730,1
P000723,1
P000600,1
P008005,1
P007641,1
P006709,1
P007692,1
P008025,1
P007780,1
P004862,1
P008031,1
P007514,1
P008032,1
P004209,1
P007506,1
P004211,1
P008035,1
P004234,1
P007459,1
P008036,1
P007639,1
P005531,1
P007518,1
P005664,1
P007448,1
P007497,1
P008003,1
P008011,1
P007810,1
P008004,1
P008010,1
P008012,1
P000494,1
P008013,1
P000740,1
P007702,1
P007534,1
P008034,1
P007627,1
P005820,1
P005317,1
P007679,1
P001156,1
P004196,1
P007703,1
P000748,1
P007763,1
P007699,1
P003802,1
P006712,1
P003870,1
P007602,1
P006457,1
P003569,1
P007696,1
P005770,1
P007813,1
P007985,1
P003881,1
P007637,1
P008002,1
P007737,1
P008006,1
P007777,1
P007539,1
P005781,1
P008033,1
P004284,1
P004282,1
P007609,1
P006950,1
P007564,1
P003849,1
P007713,1
P008028,1
P007593,1
P005000,1
P007988,1
P007698,1
P007463,1
P004185,1
P007689,1
P008007,1
P007638,1
P007662,1
P007996,1
P007994,1
P005726,1
P007995,1
P007770,1
P003330,1
P007610,1
P004269,1
P004271,1
P004261,1
P007507,1
P003202,1
P007597,1
P008018,1
P007616,1
P000462,1
P000476,1
P000464,1
P008017,1
P000470,1
P008019,1
P008016,1
P000629,1
P007544,1
P008020,1
P007567,1
P000633,1
P007677,1
P007584,1
P000635,1
P007533,1
P000621,1
P007999,1
P007485,1
P007528,1
P007686,1
P000744,1
P007802,1
P000644,1
P007645,1
P000627,1
P007458,1
P007624,1
P002851,1
P006193,1
P000717,1
P007618,1
P007731,1
P007991,1
P007572,1
P007997,1
P007476,1
P007529,1
P003903,1
P007478,1
P007695,1
P008014,1
P007766,1
P004251,1
P004257,1
P007768,1
P007554,1
P007998,1
P002445,1
P007764,1
P005915,1
P000750,1
P007727,1
P008022,1
P008008,1
P007607,1
P008026,1
P007595,1
P008021,1
P007785,1
P008009,1
P000604,1
P007580,1
P007552,1
P003934,1
P008029,1
P008030,1
P007715,1
P007565,1
P006106,1
P002717,1
P007984,1
P007823,1
P007113,1
P005193,1
P007648,1
P007992,1
P007562,1
P008023,1
P008015,1
P008024,1
P007566,1
P008027,1
P007530,1
